company_name,Ratings,Rieview,Salaries,Interviews,Jobs,Company_Type,Company_location,Company_years,Company_emp,Company_Details,Discription
Zydus Cadila,4.2,3.7k,15.7k,139,42,Public,"Ahmedabad, India + 119 more",71 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Zydus Lifesciences Limited formerly knowns as Cadila Healthcare Limited, a leading Indian Pharmaceutical company is a fully integrated, global healthcare provider. 

With in-depth domain expertise in the field of healthcare, it has strong capabilities across the spectrum of the pharmaceutical value chain. From formulations to active pharmaceutical ingredients. Zydus has earned a reputation amongst Indian pharmaceutical companies for providing comprehensive and complete healthcare solutions.

One of the salient features of Zydus is its rich history and lineage. The origin of the company dates all the way back to the 1950s. The company was founded in the year 1952 by Mr. Ramanbhai B. Patel (late), a first-generation entrepreneur and a doyen in the field of Indian Pharmaceuticals.

In 1995, the group was restructured and thus was formed Cadila Healthcare under the aegis of the Zydus group. From a humble turnover of Rs. 250 crores in 1995 the group witnessed significant financial growth and registered a turnover of over Rs. 15,000 crores in FY-21.

Adhering to its brand promise of being dedicated to life in all its dimensions, Zydus continues to innovate with an unswerving focus to address unmet healthcare needs. Simultaneously it rededicates itself to its mission of creating healthier, happier communities across the globe."
eClerx,3.5,3.7k,29.4k,259,65,Public,"Mumbai,Maharashtra + 14 more",23 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","eClerx provides business process management, automation and analytics services to a number of Fortune 2000 enterprises, including some of the world's leading financial services, communications, retail, fashion, media & entertainment, manufacturing, travel & leisure, and technology companies. 

Incorporated in 2000, eClerx is today traded on both the Bombay and National Stock Exchanges of India. 

The firm employs 16,000+ people across Australia, Canada, Germany, India, Italy, Netherlands, Philippines, Singapore, Thailand, UK, and the USA."
Siemens,4.2,3.7k,28.5k,215,923,Public,"Munich,Bavaria + 110 more",176 years old,5k-10k Employees (India),"Food Processing,Public,Bhopal","Siemens India manufactures steam turbines, turbo compressors, high-voltage switchgear (circuit breakers, disconnectors and gas-insulated switchgear), switchboards, remote monitoring systems (RMS), fire detectors and suppression systems, motors and generators, relays and Smart Grid systems, transformers, and advanced medical imaging equipment. The factories replicate global, best-in-class manufacturing systems and practices, with a facility to overhaul and repair gas turbines, compressor blades and rotors.

 

Siemens India is a leader in technology solutions for intelligent (smart), sustainable cities, smart grid, building technologies, mobility and power distribution. Siemens is involved in the Restructured Accelerated Power Development and Reforms Programme (R-APDRP) of the Government of India for installing Smart Grid solutions in many cities in India. Siemens India has signed a Memorandum of Understanding with Confederation of Indian Industry (CII) to be the Lead Industry Partner in a consortium for the conceptualization and development of Smart Cities in India."
Mahindra & Mahin...,4.3,3.7k,14.7k,76,53,Public,"Mumbai,Maharashtra + 596 more",32 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Mahindra Finance began as a captive financier of Mahindra Utility Vehicles in the early 90s. From Mahindra UVs to tractors to non-Mahindra products, the company has diversified into a financial services provider with a whole suite of financial solutions tailored to the under-served customer in under-penetrated rural markets.

Our product portfolio consists of vehicle finance, which includes financing of passenger vehicles, utility vehicles, tractors, commercial vehicles, construction equipment; and pre-owned vehicles and SME finance, which includes project finance, equipment finance, working capital finance and bill discounting services to SMEs. The company also undertakes mutual fund distribution, fixed deposits and personal loans tailor-made to suit its unique customer set.

With over 33,000 employees, Mahindra Finance has a presence in every state in India and a footprint in 85% of its districts. It serves customers in more than 3, 60,000 villages– that’s one in every two villages in the country."
Apollo Hospitals,4.1,3.7k,17.4k,166,56,Public,"Chennai,Tamil Nadu + 167 more",40 years old,50k-1 Lakh Employees (India),"Food Processing,Public,Bhopal","Apollo Hospitals was established in 1983 by Dr. Prathap C Reddy, renowned as the architect of modern healthcare in India. As the nation's first corporate hospital, Apollo Hospitals is acclaimed for pioneering the private healthcare revolution in the country. Apollo Hospitals has emerged as Asia's foremost integrated healthcare services provider and has a robust presence across the healthcare ecosystem, including Hospitals, Pharmacies, Primary Care &amp; Diagnostic Clinics and several retail health models. The Group also has Telemedicine facilities across several countries, Health Insurance Services, Global Projects Consultancy, Medical Colleges, Medvarsity for E-Learning, Colleges of Nursing and Hospital Management and a Research Foundation. In addition, 'ASK Apollo' - an online consultation portal and Apollo Home Health provide the care continuum."
Oracle,3.9,3.7k,52.2k,434,207,Public,"Austin,Texas + 35 more",46 years old,50k-1 Lakh Employees (India),"Food Processing,Public,Bhopal","With a leading presence in more than 175 countries, Oracle is the world's number one provider of business software. 

More than 400,000 businesses around the world trust our technologies to run their mission-critical operations. With the industry's broadest and deepest suite of cloud applications, our cloud is the only cloud that's built from the ground up for business."
Tata Projects,4.2,3.6k,21.6k,217,36,Public,"Mumbai,Maharashtra + 217 more",44 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Tata Projects is one of the fastest growing and most admired industrial infrastructure companies in India. It has expertise in executing large and complex urban and industrial infrastructure projects.

As a top industrial infrastructure company in India, we provide turnkey solutions for the construction of roads, bridges, fully integrated rail & metro systems, commercial building & airports and setting up power generation plants, power transmission & distribution systems, chemical process plants, water and waste management and complete mining and metal purification systems. We are also a leading mining company in India and metal purification company in India. We do not just adhere to world class standards but also help innovative and push the boundaries. This helped us establish ourselves as a leading industrial infrastructure company in India.

The company is driven to deliver projects on time using world-class management techniques and has uncompromising standards of safety and sustainability. As a leader among the mining companies in India, we set the benchmark for many mining projects across the nation. And our premier execution of metallurgy projects has transformed our organisation into the preferred metal purification company choice."
JLL,4.2,3.6k,19.8k,159,43,Private,"Mumbai,Maharashtra + 63 more",26 years old,5k-10k Employees (India),"Food Processing,Public,Bhopal","JLL (NYSE: JLL) is a leading professional services firm that specializes in real estate and investment management. JLL shapes the future of real estate for a better world by using the most advanced technology to create rewarding opportunities, amazing spaces and sustainable real estate solutions for our clients, our people, and our communities. JLL is a Fortune 500 company with annual revenue of $16.6 billion in 2020, operations in over 80 countries and a global workforce of more than 91,000 as of March 31, 2021. JLL is the brand name, and a registered trademark, of Jones Lang LaSalle Incorporated. For further information, visit jll.com.
 
In India, JLL has an extensive presence across 10 major cities (Mumbai, Delhi NCR, Bengaluru, Pune, Chennai, Hyderabad, Kolkata, Ahmedabad, Kochi, and Coimbatore) and over 130 tier II & III markets with a cumulative strength of close to 12,000 professionals. Headquartered out of Mumbai, we are India’s premier and largest professional services firm specializing in real estate. Our services cover various asset classes such as commercial, residential, industrial, retail, warehouse and logistics, hospitality, healthcare, senior living, data centre and education. For further information, please visit jll.co.in."
First Source,3.9,3.6k,20.9k,146,51,Public,"Mumbai,Maharashtra + 48 more",22 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Firstsource is purpose-led and people-first. We create value for our global clients by elevating their customers’ experience at every interaction, be it a call, click, tap, message, or chat.

Delivering a great experience to clients starts on the inside – by connecting every Firstsourcer to the role’s purpose. We upskill our people in new-age technologies and focus on supporting their physical, financial, and mental well-being.

The result? Everyone aligned to our ‘Digital First, Digital Now’ strategy, our north star, where we pair technology and human touch. Our work focuses on simplifying complex business processes to help our global clients be more efficient, save money and execute brilliantly."
Hero MotoCorp,4.2,3.5k,15.8k,206,7,Public,"Gurgaon/Gurugram,Haryana + 285 more",39 years old,5k-10k Employees (India),"Food Processing,Public,Bhopal","Hero MotoCorp is India's leading two wheeler company, which has been providing customers with an excellent range of two wheelers that ensure both style and comfort. The story of Hero MotoCorp can be traced back to the vision of a mobile and empowered India, powered by its two wheelers. Today, Hero MotoCorp has made it its mission to become the best two wheeler company, not only in India but globally by setting benchmarks in style, performance and technology."
Hewlett-Packard ...,4.3,3.5k,33k,153,57,Private,"Houston,Texas + 87 more",8 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","At Hewlett Packard Enterprise, we are changing the world together. We&rsquo;re advancing the way people live, work and communicate. With a culture that thrives on finding new and better ways to accelerate what's next, we offer businesses the opportunity to turn insights into outcomes. We do this by making Hybrid IT simple, powering the Intelligent Edge, and providing the expertise to make it happen. What starts here changes the world.&nbsp;"
JustDial,3.6,3.5k,18.7k,192,100,Public,"Mumbai,Maharashtra + 147 more",27 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Just Dial Limited is India's No. 1 Local Search engine that provides local search related services to users across India through multiple platforms such as website, mobile website, Apps (Android, iOS, Windows), over the telephone (voice, pan India number 8888888888) and text (SMS).

Justdial has also initiated ‘Search Plus’ services for its users. These services aim at making several day-to-day tasks conveniently actionable and accessible to users through one App. By doing so, it has transitioned from being purely a provider of local search and related information to being an enabler of such transactions. Justdial has also recently launched JD Omni, an end-to-end business management solution for SMEs, through which it intends to transition thousands of SMEs to efficiently run their business online and have adequate online presence via their own website and mobile site. Apart from this, it has also launched JD Pay, a unique solution for quick digital payments for its users and vendors, and JD Social, its official social sharing platform to provide curated content on latest happenings to users. The organisation also aims to make communication between users and businesses seamless through its Real Time Chat Messenger."
Bajaj Allianz Li...,4.1,3.4k,21.2k,167,38,Private,Pune + 467 more,22 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Bajaj Allianz Life Insurance Company Limited is one of India’s leading private life insurance companies. It is a joint venture between Bajaj Finserv Limited, the holding company for the businesses dealing with financial services of the Bajaj Group, and Allianz SE, the world’s leading insurance conglomerate and one of the largest asset managers in the world.Bajaj Allianz Life Insurance Company Limited began its operations in 2001, and today has a pan-India presence with 582 branches as on 31 August 2019. The company offers life insurance solutions through its strong product portfolio, which includes traditional insurance products and ULIPs for enabling customers fulfill their LifeGoals. The company also offers group insurance and health insurance plans."
Cyient,3.7,3.3k,25.8k,145,212,Public,"Hyderabad/Secunderabad,Telangana + 26 more",32 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","From quieter flights and safer train rides to more reliable energy supply, we strive to provide comprehensive solutions that help our clients achieve their operational and business goals. To us, problems are an opportunity to use our extensive global experience and industry knowledge creatively to help our clients do more-we make them more capable, more flexible, and more competitive.  Founded in 1991, Cyient provides engineering, manufacturing, geospatial, network, and operations management services to global industry leaders. We deliver innovative solutions that add value to businesses through the deployment of robust processes and state-of-the-art technology. Our high quality products and services help clients leverage market opportunities and gain the competitive advantage.  To ensure streamlined efficiency and seamless operations, we have key centers at strategic locations across the globe."
Omega Healthcare,3.8,3.3k,20.9k,166,57,Private,Florida + 34 more,19 years old,5k-10k Employees (India),"Food Processing,Public,Bhopal","Omega owes its origins to the personal experience of its founders. After various tenures in the US healthcare industry, both partners recognized a major lack of support for medical billing companies and healthcare payment systems. Combining their domain expertise and business knowledge in the Revenue Cycle Management industry, Omega Healthcare was created."
Fidelity Nationa...,4.0,3.3k,32.1k,159,29,Private,"Jacksonville,Florida + 30 more",55 years old,5k-10k Employees (India),"Food Processing,Public,Bhopal","FIS is a global leader in financial services technology, with a focus on retail and institutional banking, payments, asset and wealth management, risk and compliance, and outsourcing solutions. 

Through the depth and breadth of our solutions portfolio, global capabilities, and domain expertise, FIS serves more than 20,000 clients. Headquartered in Jacksonville, Florida. 

FIS employs more than 55,000 people worldwide and holds leadership positions in payment processing, financial software, and banking solutions. 
Providing software, services, and outsourcing of the technology that empowers the financial world, FIS is a Fortune 500 company and is a member of Standard &
Poor’s 500® Index. 
For more information about FIS, visit www.fisglobal.com"
Megha Engineerin...,4.1,3.3k,17.7k,238,138,Private,"Hyderabad/Secunderabad,Telangana + 240 more",34 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","Megha Engineering & Infrastructures Limited (MEIL) is a major infrastructure company headquartered in Hyderabad, India. The company was established in 1989 as a small fabrication unit. In due course of time, the unit made a name for itself in the manufacturing and engineering sector."
L&T Construction,4.0,3.3k,15.5k,353,,Public,Chennai + 281 more,79 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","L&T Construction, India's largest construction organization and ranked among the world's top 30 contractors, has been over the past seven decades transforming cityscapes and landscapes with structures of immense size and grandeur. The company's capabilities span the entire gamut of construction - civil, mechanical, electrical and instrumentation engineering - and its services extend to all core sector industries and infrastructure projects.

Several of the country's prized landmarks - edifices, structures, airports, industrial projects, flyovers, viaducts, water, and power infrastructure projects carry L&T's signature of excellence in construction. Today, more and more structures beyond India's boundaries are standing tall, thanks to L&T Construction."
Reliance Communi...,4.0,3.2k,17.8k,59,2,Public,"Navi Mumbai,Maharashtra + 392 more",21 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Reliance Communications Limited, founded by the late Shri Dhirubhai H Ambani (1932-2002), has Corporate clientele that includes 40,000 Indian and multinational corporations, including small and medium enterprises.

Reliance Communications has established a pan-India, Next-Generation, digital network that is capable of supporting best-of-class services spanning the entire communications value chain. Reliance Communications owns and operates the world's largest Next-Generation IP-enabled connectivity infrastructure, comprising fiber optic cable systems in India, the USA, Europe, Middle East and the Asia Pacific region."
Hyundai Motor,4.3,3.2k,14.7k,146,17,Private,Seoul + 243 more,56 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Hyundai Motor Company is striving to provide freedom of movement to everyone by investing in mobility services, by building close relationship with leading mobility service providers and expanding our role beyond the automotive transportation sector. The company will play a pivotal role in global society’s transition to clean energy by helping make hydrogen an economically viable energy source."
Capgemini Techno...,4.0,3.2k,45.8k,263,2,,Bengaluru/Bangalore + 28 more,,,"Food Processing,Public,Bhopal",
TVS Motor,4.0,3.2k,15.5k,170,40,Public,"Chennai,Tamil Nadu + 249 more",44 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","TVS Motor Company is the third-largest 2-wheeler company in India with a revenue of over ₹18,217 crores (over US$2.9 billion). It has an annual sale of more than 3 million units and an annual capacity of over 4.95 million vehicles. TVS Motor is also the 2nd largest exporter in India with exports to over 60 Countries. 

TVS Motor manufactures the largest range of 2-wheelers, starting from mopeds to scooters, commuter motorcycles, to racing-inspired bikes like the Apache series and the RR310. Whatever your requirement be, we have one for everyone. TVS Motor’s strength lies in its extensive research and development, resulting in products that are industry-leading in terms of innovation. 

We at TVS deliver total customer satisfaction by anticipating customer needs and presenting quality vehicles at the right time and at the right price. TVS has always stood for innovative, easy-to-handle, and environment-friendly products, backed by reliable customer service. More than 44 million + customers have bought a TVS product to date. 

TVS products give you only reasons to smile! The company has four manufacturing plants, three located in India (Hosur in Tamil Nadu, Mysore in Karnataka, and Nalagarh in Himachal Pradesh) and one in Indonesia at Karawang."
D Mart,3.9,3.2k,15.3k,194,25,Private,"Mumbai,Maharashtra + 192 more",4 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","DMart is a one-stop supermarket chain that aims to offer customers a wide range of basic home and personal products under one roof. Each DMart store stocks home utility products - including food, toiletries, beauty products, garments, kitchenware, bed and bath linen, home appliances and more - available at competitive prices that our customers appreciate. Our core objective is to offer customers good products at great value.

DMart was started by Mr. Radhakishan Damani and his family to address the growing needs of the Indian family. From the launch of its first store in Powai in 2002, DMart today has a well-established presence in 234 locations across Maharashtra, Gujarat, Andhra Pradesh, Madhya Pradesh, Karnataka, Telangana, Chhattisgarh, NCR, Tamil Nadu, Punjab and Rajasthan. With our mission to be the lowest priced retailer in the regions we operate, our business continues to grow with new locations planned in more cities.

The supermarket chain of DMart stores is owned and operated by Avenue Supermarts Ltd. (ASL). The company has its headquarters in Mumbai."
Oyo Rooms,3.4,3.2k,30.1k,137,169,Private,"Gurgaon,Haryana + 108 more",10 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","Founded in India in 2013 by 18-year-old Ritesh Agarwal, OYO grew from 1 hotel to 23,000+ hotels, 1,000,000+ rooms and 125,000+ holiday homes. OYO is spread across 800 cities in 80 countries. Headquartered in Gurgaon, OYO is the fastest-growing and second-largest hotel chain in the world. Globally, we are known for transforming spaces into comfortable and stylish spaces with 70% - 85% occupancy rates. With cutting-edge technology and top industry leaders who love taking risks, we are investing in cloud kitchens, co-living, co-workspaces, student housing, extended stay residences, and grand hotel projects. If we are ambitious about disrupting the hospitality industry and seek a buzzing young work culture, OYO is the place for you!"
Bosch,4.3,3.2k,19.9k,195,10,Public,"Gerlingen,Baden-Wuerttemberg + 88 more",137 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Our products and services are designed to spark enthusiasm, improve quality of life, and help conserve natural resources. We want to deliver top quality and reliability. In short: we want to create technology that is “Invented for life.”

The Bosch Group is a leading global supplier of technology and services. It employs roughly 395,000 associates worldwide (as of December 31, 2020). The company generated sales of 71.5 billion euros in 2020. Its operations are divided into four business sectors: Mobility Solutions, Industrial Technology, Consumer Goods, and Energy and Building Technology. As a leading IoT provider, Bosch offers innovative solutions for smart homes, Industry 4.0, and connected mobility. Bosch is pursuing a vision of mobility that is sustainable, safe, and exciting. It uses its expertise in sensor technology, software, and services, as well as its own IoT cloud, to offer its customers connected, cross-domain solutions from a single source. The Bosch Group’s strategic objective is to facilitate connected living with products and solutions that either contain artificial intelligence (AI) or have been developed or manufactured with its help. Bosch improves quality of life worldwide with products and services that are innovative and spark enthusiasm. In short, Bosch creates technology that is “Invented for life.”

We are motivated by the desire to develop products that are “Invented for life,” that spark enthusiasm, that improve quality of life, and that help conserve natural resources. Our “We are Bosch” mission statement reflects this. It summarizes our values, our strengths, and our strategic orientation.

The mission is based on seven central values, which shape our corporate culture – ranging from a focus on the future and earnings to cultural diversity. Responsibility and sustainability are part of this set of values and thus of our actions."
BigBasket,4.1,3.1k,15.4k,212,99,Private,"Bangalore,Karnataka + 95 more",12 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","From household cleaning products to beauty and makeup, BigBasket has everything you need for your daily needs. bigbasket.com is convenience personified We’ve taken away all the stress associated with shopping for daily essentials, and you can now order all your household products and even buy groceries online without traveling long distances or standing in serpentine queues.

Add to this the convenience of finding all your requirements at one single source, along with great savings, and you will realize that BigBasket- India’s largest online supermarket, has revolutionized the way India shops for groceries. Online grocery shopping has never been easier. Need things fresh? Whether it’s fruits and vegetables or dairy and meat, we also have this covered! Get fresh eggs, meat, fish, and more online at your convenience. Hassle-free Home Delivery options.

Our On-time Guarantee is one such assurance where we refund 5% of the bill value if the delivery is delayed (however, due to the pandemic caused by Covid-19 our delivery might get delayed. Delivery Guarantee will not be applicable). We provide free delivery for all your order values above Rs. 1200. 

A wide range of imported and gourmet products are available through our express delivery and slotted delivery service. If you ever find an item missing on delivery or want to return a product, you can report it to us within 48 hours for a ‘no-questions-asked’ refund."
Intelenet Global...,3.7,3.1k,11.7k,29,,Private,"Mumbai,Maharashtra + 56 more",23 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","For over 40 years, Teleperformance, the global leader in customer experience management, has been connecting customers with the world’s most successful companies. Teleperformance's Digital Integrated Business Services combines human touch and high technology to deliver extraordinary customer experiences. While technology creates new and agile ways of working, our interaction experts remain committed to creating unique connections through empathy, adaptive communication skills, and more importantly, a passion for making it happen."
Future Group,4.2,3.1k,15.4k,63,16,Private,"Mumbai,Maharashtra + 194 more",10 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Rewrite Rules, Retain Values – this simple idea has been at the core of our business since the inception of Future Group. Today, a wide portfolio of brands in food, FMCG and fashion, complement the country’s pioneering modern retail networks.

More than 600 million customer visits are recorded across the 2,000 Future Group retail stores, covering over 24 million square feet of space in over 400 cities and towns. Millions more interact with group’s brands and businesses through ecommerce sites, social media and mobile apps like FuturePay and EasyDay Club.

In fashion, our manufacturing facilities produce garments designed and sourced by a talented team of trend-spotters, designers and merchandizers. Brands like Lee Cooper, John Miller, CoverStory, Indigo Nation, Scullers, Knighthood, DJ&C, Bare, UMM, and Ancestry are some of our key brands.

The flagship retail brand Big Bazaar is ranked among the most valuable Indian brands (Interbrand), and among the most trusted brands (Nielsen). Leading department store network, Central, smart prices retailer, Brand Factory, and popular fashion destination FBB are also a part of the group, along with a growing chain of small neighbourhood stores, EasyDay and Heritage Fresh, and convenience stores WH Smith and 7-Eleven."
Indiamart Interm...,3.7,3.1k,19.9k,297,835,Private,"Noida,Uttar Pradesh + 120 more",27 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","IndiaMART is India’s largest online B2B marketplace, connecting buyers with suppliers. With 60% market share of the online B2B Classified space in India, the channel focuses on providing a platform to Small & Medium Enterprises (SMEs), Large Enterprises as well as individuals. Founded in 1999, the company’s mission is ‘to make doing business easy."
Atos Syntel,3.7,3k,36.5k,151,41,Private,"Troy,Michigan + 14 more",43 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Atos is the global leader in secure and decarbonized digital with a range of market-leading digital solutions along with consultancy services, digital security and decarbonization offerings; an end-to-end partnership approach.
A net-zero pioneer in decarbonization services and products, our commitment to the future extends to carbon-neutrality for our organization as well as our clients and partners. Together, we’re a force pushing the boundaries of scientific and technological excellence to ensure that everyone can live, work and thrive sustainably in a secure information space.
Atos is a SE (Societas Europaea), listed on Euronext Paris and included on the CAC 40 ESG and Next 20 Paris Stock Indexes."
Manappuram Finan...,4.0,3k,11.3k,77,2,Public,"Thrissur/Trichur,Kerala + 441 more",74 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Manappuram Finance Ltd. is one of India’s leading gold loan NBFCs. Promoted by Shri. V.P. Nandakumar, the current MD & CEO, its origins go back to 1949 when it was founded in the coastal village of Valapad (Thrissur District) by his late father Mr. V.C. Padmanabhan. The firm was involved in pawn broking and money lending carried out on a modest scale. Shri Nandakumar took over the reins in 1986 after his father expired.   Since then, it has been a story of unparalleled growth with many milestones crossed. Incorporated in 1992, Manappuram Finance Ltd. has grown at a rapid pace. Today, it has 3,747 branches across 28 states/UTs with assets under management (AUM) of nearly Rs.13,0140 million and a workforce of 19,372."
SBI Cards & Paym...,3.7,3k,21.9k,141,32,Government,"Gurgaon/Gurugram,Haryana + 291 more",25 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","SBI Cards & Payment Services Ltd., previously known as SBI Cards and Payment Services Private Limited, is a payment solutions provider in India. SBI Card was launched in October 1998 by the State Bank of India, India's largest bank, and GE Capital. In December 2017, State Bank of India and The Carlyle Group."
BNY Mellon,4.2,3k,27.4k,150,551,Private,"New York City,New York + 11 more",19 years old,5k-10k Employees (India),"Food Processing,Public,Bhopal","INautix, established in 2000, is a group company of BNY Mellon operating in India, providing technology solutions to the bank. The Technology division has over 13,000 professionals, working across nine innovation centers worldwide, to deliver innovative technology solutions powering BNY Mellon business."
Wipro BPS,3.8,3k,14.5k,152,,,Bengaluru + 35 more,23 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","Wipro BPS is an outsourcing arm of Wipro Limited that provides next generation business process services to global enterprises. BPS is nothing but Business Process Services. The services are spread to the domain such as Telecom, Media, Aviation, Technology, Retail, Banking, Financial Services, Manufacturing, Healthcare, Pharma, Insurance, Energy & Utilities and Travel & Transportation."
Cummins,4.4,3k,15k,152,24,,"Columbus,Indiana + 89 more",61 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Formed in 1962, the largest entity of Cummins in India, Cummins India Limited is the country’s leading manufacturer of diesel and natural gas engines. One of the seven legal entities of the Cummins Group in India, Cummins India Limited comprises three business units - Engine, Power Systems, and Distribution."
Bosch Global Sof...,4.2,3k,31.6k,170,42,Private,Gerlingen + 22 more,33 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Bosch Global Software Technologies Private Limited (BGSW) is a 100% owned subsidiary of Robert Bosch GmbH. We are one of the world’s leading global suppliers of technology and services, offering end-to-end Engineering, IT, and Business Solutions.

With a global footprint and presence in the US, Europe, Japan, China, and the Asia Pacific region, we are at the forefront of designing, developing, and executing IoT ecosystems through our all-encompassing capability within the 3 aspects of IoT – Sensors, Software, and Services.

We have always focused on improving the quality of the life of people, providing newer revenue-generating opportunities, and improving operational efficiencies for enterprises through an array of solutions. With our unique ability to offer end-to-end solutions that connect Sensors, Software, and Services, we enable businesses to move from the traditional to digital or improve businesses by introducing a digital element in their products and processes."
UST,3.9,2.9k,33.8k,209,135,Private,"Aliso Viejo,California + 31 more",22 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","UST is a leading technology and digital transformation company, with global headquarters in California, USA. The company has offices in Bengaluru, Thiruvananthapuram, Kochi, Chennai, Hyderabad, Pune, Noida, Hosur, Coimbatore and Ahmedabad in India.
For more than 22 years, UST has worked side by side with the world’s best companies to make a real impact through transformation. Powered by technology, inspired by people and led by purpose, UST partners with clients from design to operation. Through a nimble approach, UST identifies their clients’ core challenges, and crafts disruptive solutions that bring their vision to life. With deep domain expertise and a future-proof philosophy, UST embeds innovation and agility into clients’ organizations—delivering measurable value and lasting change across industries, and around the world. With over 26,000 employees in 25 countries, UST builds for boundless impact—touching billions of lives in the process. Find out more at ust.com."
IQVIA,4.1,2.9k,24.3k,238,39,Partnership,Durham + 37 more,41 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","IQVIA is a world leader in using data, technology, advanced analytics, and expertise to help customers drive healthcare forward. Together with the companies we serve, we are enabling a more modern and effective healthcare system and creating breakthrough solutions that transform business and patient outcomes."
Fullerton India,4.1,2.9k,13.4k,78,29,Private,Mumbai + 432 more,16 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Fullerton India started its India operations in 2007, and today it is one of the leading NBFCs with a pan India presence. With a valued strength of 13, 000 employees, we offer financial support and partnership to over 2.8 million customers, across 626 branches. We operate in the niche sectors, and provide financial access to the underserved and unserved segments. By doing so, we have introduced people to formal credit.

The firm has invested in technology and digital capabilities to enhance customer and stakeholder experience, and paved the way for – Rishta Sammaan Ka. This echoes our core values and ethos of making things simpler, in our journey to empower people. We remain gender neutral and do what is right for the community.

Our primary services constitute financing of SME for working capital and growth, loans for commercial vehicles and two-wheelers, home improvement loans, loans against property, personal loans, working capital loans for urban self-employed and loans for rural livelihood advancement, rural housing finance and financing of various rural micro enterprises.

Fullerton India Credit Company Limited is a wholly owned subsidiary of Fullerton Financial Holdings Pte. Ltd., which in turn is a wholly owned subsidiary of Temasek Holdings Pte. Ltd., Singapore. Fullerton Financial Holdings invests in financial institutions in emerging markets with its prime focus on business and consumer banking."
Amdocs,4.0,2.9k,33k,285,1,Private,"Chesterfield,Missouri + 12 more",41 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Amdocs is a leading software and services provider to communications and media companies of all sizes, accelerating the industry’s dynamic and continuous digital transformation.
With a rich set of innovative solutions, long-term business relationships with 350 communications and media providers, and technology and distribution ties to 600 content creators, Amdocs delivers business improvements to drive growth. Amdocs and its 25,000 employees serve customers in over 85 countries. Listed on the NASDAQ Global Select Market, Amdocs had revenue of $4.0 billion in fiscal 2018"
Samsung,4.1,2.9k,19.2k,273,142,Public,Seoul + 386 more,85 years old,5k-10k Employees (India),"Food Processing,Public,Bhopal","Samsung Electronics is a global leader in technology, opening new possibilities for people everywhere. Through relentless innovation and discovery, we are transforming the worlds of TVs, smartphones, wearable devices, tablets, digital appliances, network systems, medical devices, semiconductors and LED solutions. Samsung is also leading in the Internet of Things space through, among others, our Smart Home and Digital Health initiatives. 

Since being established in 1969, Samsung Electronics has grown into one of the world’s leading technology companies, and become recognized as one of the top 10 global brands. Our network now extends across the world, and Samsung takes great pride in the creativity and diversity of its talented people, who drive our growth.  To discover more, please visit our website at www.samsung.com and our official newsroom at news.samsung.com"
